ABAGUNE,aukera parada egokiera
ABAILA,ziztu abiada arineketa arrapalada
ABAILDUA,eroria goibeldua etsita lur jota
ABEGI,harrera
ABIATU,irten jalgi
ADIBIDEZ,esate_baterako esaterako kasu
ADINA,beste adinbat bezainbeste
ADITUA,jakituna jakintsua jantzia
ADITZEN,ulertzen konprenitzen endelegatzen
ADORE,kemen kuraia ausardia balentria indar
ADORERIK,kemenik indarrik
AGERIKOA,bistakoa nabarmena ezagun
AHOBERO,harro harroputz
AIDURU,ain itxaroten esperoan
AITABITXI,aita_besoetako
AITZAKIA,estakuru
AITZINEKOA,aurrekoa aurretikoa arteragokoa
AITZINSOLASEAN,Sarreran hitzaurrean atarikoan
AKASO,beharbada apika agian ausaz
AKATSAK,hutsak hutsegiteak erruak
AKITUTA,nekatuta indargetuta unatuta
AKUILATU,bultzatu sustatu
ALAFEDE,egiaz benetan zinez alajainkoa alajaina
ALBISTE,berri adierazpen
ALBORATU,baztertu utzi saihestu ekidin
ALDARTE,umore gogaldi tenple sasoi
ALDE,diferentzia ezberdintasun desberdintasun
ALDENDU,apartatu urrutiratu urrundu
ALTZOAN,magalean galtzarrean babesean
AMABITXI,Ama_besoetako
AMARRUEI,maltzurkeriei azpikeriei
AMARRURIK,azpikeriarik trikimailurik tranparik
AMATATU,itzali desagertu iraungi
AMULTSU,ezti gozo atsegin begitartetsu maitati maitetsu xeratsu
ANDANAK,taldeak tropelak piloak pilak
ANDANAREN,mordoaren piloaren pilaren taldearen
ANTXETA,aio
ANTZA,dirudienez itxuraz agi denez nonbait
ANTZEMAN,nabaritu igarri sumatu
APAL,Otzan umil xume
APAR,bitsa haguna
APARTA,berezia
APETAK,grinak gutiziak desirak gurariak nahiak gogoak
ARAKETAN,bilaketan miaketan ikerketan
ARATZ,garbi garden
ARBUIATUKO,mesprezatuko erdeinatuko gutxietsiko
ARBUIATZEN,mesprezatzen erdeinatzen gaitzesten
ARESTIAN,lehentxeago oraintsu oixtion
ARGAL,mehar
ARIANARIAN,apurka_apurka pixkanaka
ARINDU,leundu bigundu samurtu
ARRAS,erabat zeharo guztiz osoro
ARTAZIAK,guraizeak aizturrak
ARTEGA,urduri estu larri egonezinean
ARTEZ,zuzen zintzo zorrotz
ASPALDIKO,antzinako lehenagoko
ASTRAPALA,zalaparta azantza zarata harrabotsa
ATERA,irten
ATSEKABE,nahigabe pena
ATXIKIRIK,erantsirik loturik itsatsirik
AUKERARIK,abagunerik egokierarik erarik paradarik
AURKI,laster berehala
AURRERATU,irabazi aurreztu atera
AUSIKI,kosk haginka
AZANTZA,astrapala zalaparta zarata harrabotsa
AZIENDA,ganadu
AZTORATZEN,asaldatzen larritzen urduritzen kezkatzen
AZTURAK,ohiturak usadioak usantzak ekanduak
BADAEZPADAKO,halaholako zalantzazko halamoduzko
BAKAN,urri eskas
BALDITU,min hartu harritu
BALDRESTU,trauskildu zarpaildu tartaildu
BARE,lasai trankil geldi
BARRABASKERIA,bihurrikeria okerkeria
BARRUAK,erraiak tripak barneak
BARRUTIAK,eremuak esparruak
BAZTERRETAN,urbazterretan ertzetan uhaldeetan
BEGIRA,so beha
BEGIRAMEN,begirune adeitasun
BEGIZTATUTAKO,ikusitako begiz jotako
BEHARKIZUNAK,eginbeharrak eginkizunak betebeharrak obligazioak
BEHIALA,aspaldi antzina
BEHINGOAN,segituan berehala
BELARDIAN,belartzan larrean zelaian belazean
BERANBEREGI,nahita apropos berariaz
BERARIAZ,apropos gurata nahita beranberegi
BERATU,bigundu hunkitu
BEREALDIKO,izugarrizko ikaragarrizko itzelezko sekulako
BEREBIZIKO,sekulako egundoko itzelezko izugarrizko
BERMATZEKO,ziurtatzeko segurtatzeko
BERRIZ,berriro ostera atzera
BESAPEAK,galtzarbeak
BETA,aukera abagune tenore
BETEKIZUNETATIK,zereginetatik eginbeharretatik
BIDENABAR,bide batez
BIDEZKOA,zuzena legezkoa justua
BILAUKERIA,zitalkeria ankerkeria gaiztakeria
BIPILTASUNA,kuraia garra ausardia kemena
BIRRINDU,desegin triskatu txikitu eraitsi
BISUTS,haizete elurbisuts
BISUTS,par its
BURLA,iseka trufa ihakina
BURRUNBAK,zaratotsak        burrundarak   astrapalak     harrabotsak danbotsak
DERRIGORREAN,nahitaez ezinbestean halabeharrez
DESTAINAK,mesprezua erdeinua
DETEKTIBEA,ikertzailea
DIOSALIK,agurrik adiorik
DIOSOLARI,agurrari
DIRUDUN,aberats
DOHAKABEAK,zoritxarrekoak zorigaiztokoak malurusak
DOIDOI,oztaozta juxtujuxtu
DOILORKERIA,zitalkeria ankerkeria bilaukeria gaiztakeria
DOITASUNA,zehaztasuna
EBASLE,lapur ohoin
EBATSI,ostu lapurtu
EBATZI,erabaki deliberatu
EDIREN,aurkitu topatu idoro kausitu
EDONORI,edozeini nornahiri
EDOZELAN,nolanahi edonola edozertara
EGIAZTATZEARREN,ziurtatzearren frogatzearren
EGINAHALETAN,ahaleginetan saioetan
EGOKIERA,abagunea modua aukera era parada
EGOKITU,aurkitu gertatu suertatu
EGONARRI,eroapen pairamen pazientzia patxada
EGOSKORRA,burugogorra kaskagogorra setatia setatsua
EGOTZI,aurpegiratu bota leporatu
EGOZTEA,leporatzea aurpegiratzea botatzea
EGUNDOKOAK,ikaragarriak itzelak izugarriak
EKIDITEN,saihesten galarazten
ELEKETAN,hizketan berbetan berriketan solasean
ELKORREAN,lehorrean idorrean antzuan agorrean
ELTZEA,lapikoa pertza tupina marmita
EMAN,igaro pasa
EMEKI,poliki astiro
EMENDAKINIK,zuzenketarik aldaketarik
ENDREDATZEKO,nahasteko korapilatzeko nahaspilatzeko aldrebesteko
ERABAKIA,ebatzia
ERAGOTZI,oztopatu galarazi
ERALGITZEN,gastatzen xahutzen
ERANTZUKIZUNA,ardura
ERBESTEKO,atzerriko kanpoko deserriko
ERDEINATU,arbuiatu mesprezatu gutxietsi
ERDEINUA,destaina mesprezua
ERDENAITU,gutxietsi mespretxatu
ERDEINUA,destaina mesprezua
ERDENAITU,gutxietsi mespretxatu
ERDIESTEKO,lortzeko
ERDIETSI,lortu
ERDIETSIKO,eskuratuko lortuko
ERETI,une momentu lipar
ERI,gaixo
ERNE,sortu bururatu otu
ERNEA,argia azkarra zuhurra
ERNEGATU,haserretu sumindu amorratu
ERRETXINAGO,ipurterreago     petralago    haserreago   pipertuago
ERREZELOA,susmoa itxura irudipena
ESKASTU,urritu gutxitu murriztu mehaztu
ESKEGITA,zintzilik dilindan
ESTAKURU,aitzakia
ESTREINAKOZ,lehenengoz aurrenekoz lehendabizikoz lehenbizi lehenik
ESTUTASUNA,ezinegona larritasuna egonezina
ETEKINA,irabazia mozkina hobaria
ETSI,errenditu
ETXOLA,borda txabola
EZAGUTU,aitortu eskertu
EZBAIAN,dudan zalantzan dudamuda dudatan enuraz
EZBAIRIK,zalantzarik dudarik
EZINBESTEKO,beharrezko nahitaezko
EZKILA,kanpaia
EZTENKATURIK,zirikatuta eraginda bultzaturik akuilaturik
FRANKO,ugari asko anitz
GAILEN,nagusi garaile irabazle
GAILENDU,nagusitu nabarmendu
GAITZETSI,arbuiatu kondenatu kritikatu
GAITZIK,gaixotasunik eritasunik
GALBAHE,iragazki bahe
GALGARRIA,hondagarria hondamendia kaltegarria
GALTZARBEAK,besapeak
GANDUTU,lausotu lainotu lurrindu lurrundu
GARRAZTU,zakartu laztu
GATZATU,odolbildu opildu mamitu
GELDIRO,emeki poliki mantso patxadaz
GELDO,geldi motel ilaun gogogabe odolgabe txepel jabal trankil
GERIZA,babesa
GERTU,hurbil hur hurrean aldean ondoan inguruan
GIBELEAN,atzean ostean
GIBELEKO,atzeko atzealdeko
GOGAITU,nazkatu aspertu nekatu
GOGOTIK,gogoz gogor indartsu erruz franko barrabarra
GOIBEL,triste itun gogoilun kopetilun betilun hits uzkur
GOIBELDU,tristatu ilundu atsekabetu nahigabetu
GOLDE,goldenabar lauhortz nabar nabas txerren makina
GOMUTA,oroitzapen gogorapen oroipen
GORDEAN,isilpean sekretupean ezkutuan
GORESPEN,gorapen laudorio
GORRIAN,beltzean gogorrean
HAGITZ,oso txit arras guztiz erabat
HALA ERE,halere hala_eta_guztiz_ere nolanahi_ere aldiz baina ostera
HALABEHARRAK,zoriak patuak zorteak
HALABER,baita_ere era_berean orobat modu berean orobat berebat horretaz gainera are_gehiago gainera
HALAMODUZKOA,erdipurdikoa kaxkarra eskasa halaholakoa
HARRABOTSA,astrapala zalaparta zarata azantza
HAUSNARKETA,gogoeta azterketa pentsaketa oldozketa gogarte
HAZPEGI,itxura aurpegiera bisaia
HEGALERA,albora ertzera bazterrera aldamenera
HEGIRA,bazterrera ertzera hegalera
HERABE,lotsati uzkur
HERTSIRIK,itxirik
HIGATU,gastatu ahitu
HIGITU,mugitu zirkin_egin
HITZARMENAK,itunak akordioak
HITZONTZI,berbalapiko berritsu berbatsu hiztun mihiluze kalakari ahobero
HIZTUN,berritsu hitzontzi eleketari kalakari
HOBIRATU,lurperatu ehortzi
HOGERLEKO,duro
HONDARRA,enparaua gainerakoa
HONDARREKO,bukaerako amaierako azkeneko
HORDITURIK,mozkorturik edanda
HORMATU,izoztu jelatu leitu
IDOR,elkor antzu lehor agor
IDORRAK,lehorrak agorrak sikuak
IGARABA,urtxakur ugadera ugabere
IGURIKAN,zain aiduru
ILDO,bide hari
IMINTZIO,keinu zeinu seinale
INARROSTEN,astintzen
INAUSTEN,kimatzen mozten
INDARGE,ahul eskas motel
INGUDE,txingura
INGURATU,ondoratu hurbildu
INONDIK ERE,zalantza_barik duda_gabe
IRAGAN,egin eman pasa igaro
IRAUNGI,itzali amatatu desagertu emendatu
IRAZEKI,iziotu piztu
IREKI,zabaldu
IRITSI,lortu erdietsi jadetsi eskuratu
IRMO,gotor sendo finko zindo tinko
IRMOEN,sendoen tinkoen finkoen zindoen
ISEKA,burla trufa ihakin
ISKANBILA,istilua buila matraka
ITSATSITA,erantsita atxikita lotuta
ITSUSI,zatar motz ezain
ITZARRI,esnatu itzartu iratzarri atzarri
ITZELAK,sekulakoak egundokoak
IZIOTU,irazeki piztu
IZUKAITZA,ausarta adoretsua
IZUTU,beldurtu ikaratu
JABETURIK,oharturik konturatuta
JABETZEKO,ohartzeko konturatzeko
JADETSI,lortu erdietsi
JAGOLEAK,zaindariak begiraleak guardiak zaintzaileak
JAREGIN,askatu libratu liberatu
JAZO,gertatu suertatu egokitu agitu pasatu
JOMUGA,helburua xedea
JORITASUNA,ugaritasuna oparotasuna
KAIKU,kirten astakilo lerdo kokolo inozo lelo ergel
KALAPITA,istilu iskanbila astrapala
KARAN,eder
KARRIKA,kale ibilbide
KASKARRAZ,petralaz eskasaz okerraz
KATRAMILA,nahaste buruhauste istilu korapilo arazo
KAUSITU,aurkitu idoro topatu ediren
KEMENIK,adorerik ausardiarik
KIRRI,hozki hozkamin tirri
KONPARATU,erkatu alderatu parekatu
KORRIKA,arrapaladan arineketan lasterka antxintxika
KURAIA,kemena ausardia bipiltasuna garra
LABAIN EGIN,laprast_egin irrist_egin lerratu labaindu irristatu
LABAINKA,irristaka
LAGATZEN,uzten
LAIDOZ,irainez mespretxuz gutxiespenez
LAIN,adinakoa bestekoa modukoa bezalakoa
LAIOTZ,ospel itzaltsu ainube eguzkigibel itzalpe
LAKET,atsegin gustuko gogoko
LAUDORIO,goraipamen gorespen lausengu losintxa
LAUDORIOKA,lausenguka losintxaka
LAUDORIOTAN,gorespenetan goralpenetan goraipamenetan
LAURLEKO,pezeta
LAUSENGUKA,losintxaka laudorioka
LAZGARRI,izugarri ikaragarri erdiragarri urragarri mingarri arrailgarri
LEI,izotz jela izozte izozketa
LEKUKO,seinale adierazgarri erakusgarri
LIPAR,une momentu ereti
LISKAR,borroka iskanbila
LISKARRETAN,istiluetan iskanbiletan gatazketan
LOHI,zikin
LORRATZAK,arrastoak aztarnak oinatzak
LOSINTXAKA,laudorioka lausenguka
LOTSATI,herabe uzkur
LUPETZA,lokatza basatza
MAINDIRE,izara mihise
MAKAL,ahul motel indarge hebain maskal mendre
MAKURRIK,okerrik txarrik akatsik hutsik
MALDAN,aldapan aldatsean
MALKARTSU,aldapatsu aldatsu
MALURA,zoritxarra ezbeharra zorigaitza
MANEATZEN,atontzen prestatzen apaintzen ontzen gatzozpintzen
MANERA,era modua
MANTA,tapaki burusi estalki
MANTSO,lasai apal bare
MARRO,tranpa engainu azpikeria txerrikeria iruzur
MARRUKA,orroka marrumaka oihuka marruz orroaz
MASKAL,ahul motel indarge makal
MEHAR,estu itxi hertsimehe
METATU,pilatu
MIKAZTU,samindu mingostu
MINGOTSA,mikatza garratza ezatsegina
MOLDAKAITZA,traketsa baldarra
MOTEL,ahul eskas urri makal
MOZKIN,etekin irabazi emaitza
NABARITU,antzeman igarri sumatu
NAGIKERIA,alferkeria utzikeria zabarkeria axolagabekeria
NAGUSIKI,bereziki batik_bat batez_ere gehienbat
NAHIGABE,atsekabe bihozmin samin
NARDATUTA,aspertuta nazkatuta
NOIZEAN BEHIN,tarteka lantzean behin noizbehinka
NONBAIT,antza itxura agi_denez sobra_ere
NOZITU,jasan pairatu sufritu
ODOLBILDU,odolbatu beltzune odoluri ubeldura ubelune
OHAIDEAREKIN,maitalearekin amorantearekin ohelagunarekin
OHARTU,konturatu
OHOIN,ebasle lapur
OHOREA,ospea fama izena
OIHAN,baso arboladi zuhaizti
OINAZEAK,sufrimenduak minak
OMEN,izen entzute ospe itzal fama
ONDIKOTZ,tamalez zoritxarrez damurik
ONTZEKO,heltzeko umotzeko gorritzeko fruituakâ
ONURAK,mesedeak abantailak
ORAINTXE,egun gaur_egun
ORATU,heldu atxiki eutsi
ORDAINA,baliokidea ordezkoa
ORDAINETAN,truke trukean ordez
ORPOZ ORPO,hurhurretik hurbilhurbiletik
OSTENDURIK,ezkutaturik gorderik
OSTERA,aldiz
OTARREAN,saskian otzaran zestoan sarean
OTU,Bururatu akordatu
OTZAN,apal umil mantso
OZPELA,itzaltsua laiotza
OZTAOZTA,juxtujuxtu doidoi
PAIRAEZINA,jasanezina eramanezina
PARADA,aukera abagunea egokiera
PARADARIK,aukerarik egokierarik abagunerik
PAREKOEKIN,mailakoekin berdinekin
PASADIZOEK,gorabeherek gertaerek bizipenek jazoerek
PATUAREN,halabeharraren destinoaren
PATXADAZ,lasaitasunaz soseguaz
PILAREAK,zutabeak habeak harroinak
PILPIRAKA,taupadaka dardarka kolpeka
PIPIAK,sitsak
PISUPEAN,zamapean
PLANTA,itxura
PREMUARI,maiorazkoari oinordekoari
PREST,gertu erne pronto
PROPIO,berenberegi espresuki apropos berariaz nahita espres
SAIHESTU,ekidin aldendu alboratu baztertu zokoratu
SAKELETAN,poltsikoetan patriketan
SEMEBITXIA,seme_besoetakoa
SENDO,tinko irmo
SESIOA,liskarra kalapita iskanbila istilua
SETATI,temati burugogor egoskor kaskagogor
SITSAK,pipiak
SOBERA,gehiegi larregi lar
SO_EGITEA,begiratzea behatzea
SUHARRA,adoretsua kementsua bipila gartsua
SUMINDUTA,haserretuta muturtuta amorratuta
SUNDA,kiratsa usaina hatsa
SUNTSITU,apurtu txikitu triskatu
SUSTATZEKO,bultzatzeko    indartzeko     bizkortzeko   suspertzeko
SUSTRAITUA,errotua finkatua
TAJUZKO,itxurazko ganorazko
TAMAINAN,neurrian proportzioan
TAXUTZEN,egokitzen atontzen moldatzen eratzen
TEMATI,temoso burugogor egoskor kaskagogor muker setati setatsu tematsu
TEMOSO,temati setati kaskagogor muker setati setatsu tematsu burugogor egoskor
TENOREA,ordua garaia sasoia
TINKO,finko serio sendo serioski irmo
TOKATU,suertatu egokitu
TOPATZEN,aurkitzen kausitzen
TRABA,oztopo eragozpen
TRABESKA,alboz zeharka aldamenka trabesetara saiheska
TRIKIMAILUAK,amarruak iruzurrakengainuak
TUPUSTEAN,batbatean ustekabean kolpetik derrepentean
TXILIOKA,garrasika oihuka irrintzika uluka
TXINTIK,tutik fitsik
TXIRTXILATU,hautsi puskatu birrindu triskatu txikitu
TXOLIN,txoriburu kaskarin txepel
TXUNDITU,harritu liluratu
UMELEAN,hezean ezkoan
UMORE,aldarte
UNATU,nekatu akitu gogaitu ahitu
URDURITASUNA,ezinegona artegatasuna estutasuna kezka arritasuna asaldura
URRIA,eskasa murritza
URRIKO,gutxiko eskaseko
USAINA,kiratsa sunda hatsa
USU,maiz sarritan askotan
UXATU,baztertu aldendu urrundu haizaratu
UZKUR,lotsati herabe
UZKURRA,koldarra beldurtia kikila
UZTARTZEN,lotzen elkartzen    batzen   estekatzen   parekatzen bateratzen biltzen ezkontzen
XAXATUZ,zirikatuz tentatu
XEDE,helburu helmuga jomuga
XEHEARENTZAT,arruntarentzat umilarentzat xumearentzat apalarentzat
XEHEKIRO,xeheki zehatzmehatz
ZABARKERIA,utzikeria arduragabekeria axolagabekeria
ZAIN,itxaroten esperoan aiduru
ZALU,azkar bizkor arin
ZALUAGO,bizkorrago arinago biziago azkarrago agudoago
ZANTZU,arrasto aztarna seinale
ZAPOKERIA,tranpa engainu azpikeria txerrikeria iruzur marro
ZARRAZTA,zirrara bihotzikara dartada emozio
ZARTAKOA,kolpea takatekoa
ZATAR,itsusi motz
ZENDU,hil
ZERESAN,kontu esamesa zurrumurru esateko
ZERIKUSIA,lotura harremana hartuemana erlazioa
ZERNAHI,edozer edozein zeinnahi
ZINEZ,benetan egiatan egiaz
ZINTZILIK,eskegita
ZIO,arrazoi zergati
ZIPLO,batbatean kolpean berehala supituki seko
ZIRKINIK,mugimendurik higidurarik
ZITAL,gaiztoa txarra
ZITALDU,zakartu petraldu gaiztotu
ZIZTRIN,eskas gutxi
ZOKORATUA,baztertua alboratua
ZORROAN,zakuan poltsan zakutoan
ZUHUR,entzudun burutsu zogi
ZUTIK,zutunik tente
